name,timeframe,start,end,final_equity,total_return,cagr,sharpe,calmar,max_drawdown,fee_drag,turnover,rebalances,avg_exposure
Distance buffer 4H,4h,2022-11-11 16:00:00+00:00,2026-04-18 12:00:00+00:00,10675.602335931995,0.06756023359319951,0.019226933871689944,0.20460747388502862,0.04884148072440818,-0.3936599297670642,1.0021251841256562,243.0,243,0.3295500066764588
Distance buffer 1D official,1d,2022-11-12 00:00:00+00:00,2026-04-18 00:00:00+00:00,29674.462246204457,1.9674462246204456,0.373092488877832,1.114417700710925,1.7164099127933004,-0.217367941129318,0.2290060723495936,36.0,36,0.5403032721468476
Buy & Hold BTC,4h,2022-11-11 16:00:00+00:00,2026-04-18 12:00:00+00:00,39942.03256043404,2.994203256043404,0.4969269637106124,1.1111510153991553,0.9922382369420099,-0.5008141645922628,0.0,0.0,0,1.0
