window,start,end,winner_by_calmar,both_distance_buffers_negative,4h_total_return,1d_total_return,buy_hold_total_return,4h_cagr,1d_cagr,4h_calmar,1d_calmar,4h_max_drawdown,1d_max_drawdown,4h_rebalances,1d_rebalances,4h_fee_drag,1d_fee_drag
w_01,2022-11-11,2023-05-12,4H,False,0.3209185379573676,0.18250687226936946,0.4550511394222143,0.7481643636538462,0.3999333896410948,9.005532992925806,2.182222790226579,-0.08307829911250764,-0.1832688172043011,16,3,0.04892498855425066,0.007466278157746275
w_02,2023-05-12,2023-11-10,1D,False,0.14438350300963876,0.25796158034399963,0.4165741768405453,0.31082723012934155,0.5849635665315862,1.887367414759903,7.31891934855321,-0.16468824654837155,-0.07992485484174938,27,16,0.06502124257284965,0.03965827963914746
w_03,2023-11-10,2024-05-10,1D,False,-0.1274449410759977,0.6176807280636463,0.6946112997301326,-0.23936021187648837,1.6255502019715085,-0.8567426345444643,8.776709446055746,-0.27938403229314923,-0.18521180539957727,69,0,0.15393895540675576,0.0
w_04,2024-05-10,2024-11-08,1D,False,0.012200115322316352,0.12717609726467893,0.20516113565532934,0.024634406565555267,0.27157103781015146,0.15690282272812364,1.7009593119192217,-0.15700422807715197,-0.159657574350637,41,8,0.10215405942315633,0.020509339831168216
w_05,2024-11-08,2025-05-09,1D,False,0.1731768113132508,0.17448019931949865,0.29557112206765734,0.3778544334104439,0.3809282309791706,1.429524649251515,2.142238889651343,-0.26432173352749444,-0.17781781145853814,34,2,0.0980167036149345,0.005894496135428041
w_06,2025-05-09,2025-11-07,1D,True,-0.04731554518243064,-0.04120538845673816,-0.03142101972998712,-0.0926944299409923,-0.08097852844089304,-0.597739546614136,-0.49550619913513805,-0.15507494939234823,-0.16342586345485455,25,8,0.06354734673899144,0.02035199575962901
