window,start,end,winner_by_calmar,4h_cagr,1d_cagr,4h_calmar,1d_calmar,4h_max_drawdown,1d_max_drawdown,4h_rebalances,1d_rebalances
expanding_01,2023-02-23,2024-02-23,1D,0.6788282565977088,0.7553815423129966,3.294562867289811,4.912155267426706,-0.20604501536075703,-0.15377802638325655,15,18
expanding_02,2023-02-23,2024-08-23,1D,0.618771335692406,0.6659502817948906,2.976576120747492,3.5956146551142605,-0.2078802323849246,-0.18521180539957727,20,23
expanding_03,2023-02-23,2025-02-21,1D,0.7881475510460365,0.7549398096635858,3.7913540022730547,4.076089037817396,-0.2078802323849246,-0.18521180539957727,21,26
expanding_04,2023-02-23,2025-08-22,4H,0.6076952140010312,0.5612079708771387,2.9232948560293273,2.6643489169035863,-0.2078802323849246,-0.2106360647123332,23,28
expanding_05,2023-02-23,2026-02-20,4H,0.46572633935988916,0.3909392488157353,2.2403589510017476,1.8466998698729715,-0.2078802323849246,-0.21169614791960034,26,35
