name,timeframe,final_value,invested_capital,return_on_contributions,time_weighted_nav_drawdown,invested_capital_drawdown,fee_drag
Distance buffer 4H corrected,4h,6496.840881696614,6500.0,-0.00048601820052096567,-0.18274526667301016,-0.05475780808008701,0.007424851201485761
Distance buffer 1D official,1d,6085.2566334280245,6500.0,-0.06380667178030397,-0.14244073254660772,-0.07540788483126826,0.01465974476749702
Buy & Hold BTC,4h,6322.424244101724,6500.0,-0.027319347061273258,-0.22758403057518062,-0.10661861688975494,0.0003846153846153846
