name,timeframe,sma_window,buffer,entry_persistence,exit_persistence,confirmation_price,start,end,final_equity,total_return,cagr,sharpe,calmar,max_drawdown,fee_drag,fee_only_drag,slippage_drag,turnover,rebalances,avg_exposure,layer
Distance buffer 4H corrected,4h,750,0.035,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,31371.08886674586,2.137108886674586,0.43796342701414925,1.236264709983056,2.1068065106026417,-0.2078802323849246,0.1076546108563915,0.0861236886851132,0.0215309221712783,26.0,26,0.5423951048951049,base
Distance buffer 4H corrected pro asymmetric_exit,4h,750,0.035,3,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28381.945254359245,1.8381945254359247,0.39293819870596547,1.14797284961231,1.8266962956713284,-0.21510866345823343,0.2183006356288759,0.1746405085031007,0.043660127125775175,46.0,46,0.5321969696969697,pro_asymmetric_exit_p1
