name,timeframe,sma_window,buffer,entry_persistence,exit_persistence,confirmation_price,start,end,final_equity,total_return,cagr,sharpe,calmar,max_drawdown,fee_drag,fee_only_drag,slippage_drag,turnover,rebalances,avg_exposure,candidate_family,variant,pattern_source,logic,complete_trades,trades_per_year,profit_factor,expectancy,top_1_concentration,top_3_concentration,top_5_concentration
4H compression quality breakout | SMA750 | buffer 2.5% | p1/1,4h,750,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,21830.086935738902,1.1830086935738904,0.2814987494993597,0.953021944333884,1.2443651390013715,-0.22621876865279933,0.1055217772094705,0.08441742176757638,0.021104355441894096,30.0,30,0.46853146853146854,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",15,4.765511742534068,4.522340278602311,0.07548920282338097,0.7420593280969804,1.261335416229222,1.2785519596968145
4H compression quality breakout | SMA750 | buffer 3.5% | p1/1,4h,750,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,20458.342092167393,1.0458342092167392,0.25534697670009887,0.9008657714694308,1.1144772833767094,-0.22911815297520777,0.09628599254136755,0.07702879403309404,0.01925719850827351,26.0,26,0.4364801864801865,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",13,4.130110176862859,4.7433298664359675,0.07370174466117732,0.6031770838765529,1.217748602491446,1.267141832454136
4H compression quality breakout | SMA800 | buffer 3.0% | p1/1,4h,800,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,21188.924776374075,1.1188924776374076,0.2694191887928532,0.9203707090909293,1.1049256272489485,-0.2438346818542484,0.08564369915570925,0.0685149593245674,0.01712873983114185,24.0,24,0.4753787878787879,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",12,3.8124093940272545,5.417968991742507,0.08757513881113888,0.7393454753786953,1.2175688588459883,1.2239966416680774
4H slope recent-high quality | SMA800 | buffer 2.5% | p2/1,4h,800,0.025,2,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,22370.23731762463,1.2370237317624628,0.2914887297183859,0.9494926371891084,1.0723145210039176,-0.27183137410606883,0.09609455903507873,0.07687564722806299,0.019218911807015748,22.0,22,0.4965034965034965,4H slope recent-high quality,slope_recent_high,Breakouts with positive SMA slope and recent-high confirmation had better follow-through.,"Long threshold only when SMA slope is positive, close breaks prior high, and close is in the upper candle half.",11,3.49470861119165,5.89116319899467,0.11176069218318614,0.9071791863759981,1.2044503442873344,1.1866705768280827
4H slope recent-high quality | SMA750 | buffer 3.0% | p2/1,4h,750,0.03,2,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,20268.953072327324,1.0268953072327323,0.25164321562874004,0.8648165067011204,1.0651528905298413,-0.23625079353966227,0.10075842119736894,0.08060673695789516,0.02015168423947379,26.0,26,0.46984265734265734,4H slope recent-high quality,slope_recent_high,Breakouts with positive SMA slope and recent-high confirmation had better follow-through.,"Long threshold only when SMA slope is positive, close breaks prior high, and close is in the upper candle half.",13,4.130110176862859,4.1030283547522695,0.07938261225805797,0.8510876380927365,1.2906745861506796,1.3222658273388015
4H compression quality breakout | SMA800 | buffer 2.5% | p1/1,4h,800,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,20423.853540375385,1.0423853540375383,0.25467425332466753,0.881580096842478,1.0634811724024575,-0.23947227269604177,0.09807826355969572,0.07846261084775658,0.019615652711939144,28.0,28,0.4812062937062937,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",14,4.447810959698463,4.492563841992853,0.07269546462347043,0.7634386582559779,1.2772570195260338,1.2808407860912314
4H slope recent-high quality | SMA800 | buffer 3.0% | p2/1,4h,800,0.03,2,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,22221.02872663485,1.222102872663485,0.28874574781464446,0.9430666290592833,1.0187068347398482,-0.2834434186243413,0.09613382250360264,0.07690705800288213,0.01922676450072053,22.0,22,0.4946095571095571,4H slope recent-high quality,slope_recent_high,Breakouts with positive SMA slope and recent-high confirmation had better follow-through.,"Long threshold only when SMA slope is positive, close breaks prior high, and close is in the upper candle half.",11,3.49470861119165,6.017038934438617,0.11095047452407124,0.9138038772566475,1.197427465203878,1.184018289759731
4H compression quality breakout | SMA750 | buffer 3.0% | p1/1,4h,750,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,19426.182038729843,0.9426182038729842,0.23486908996523148,0.8440576203450952,1.0073431151822179,-0.23315699132241163,0.10079253145424744,0.08063402516339795,0.020158506290849487,30.0,30,0.4458041958041958,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",15,4.765511742534068,3.9690302985766888,0.06053360876415367,0.6364702807538424,1.284690746968156,1.3368103048592619
4H compression quality breakout | SMA800 | buffer 3.5% | p1/1,4h,800,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,19957.536779313585,0.9957536779313585,0.2455013690025476,0.864979231388499,0.9650171765440476,-0.2544010355149796,0.08588520578823008,0.06870816463058406,0.017177041157646015,22.0,22,0.45134032634032634,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",11,3.49470861119165,4.632217206579541,0.08790577717405813,0.8111234516104114,1.2519070895311912,1.2694168687160425
4H compression quality breakout | SMA700 | buffer 3.0% | p1/1,4h,700,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,16290.021652637612,0.6290021652637612,0.16769031409143964,0.6605043672785303,0.5117903692823761,-0.32765429784576094,0.0933800509956024,0.07470404079648192,0.01867601019912048,35.0,35,0.44274475524475526,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",17,5.400913308205277,3.7841591946510547,0.05448020651761393,0.6539962706515821,1.2885137867038738,1.3591748639665457
4H compression quality breakout | SMA700 | buffer 3.5% | p1/1,4h,700,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,15659.540645003119,0.5659540645003118,0.15313843198227728,0.6215104911506952,0.46907506787256187,-0.32646892250491955,0.09072881766391827,0.07258305413113461,0.018145763532783653,35.0,35,0.42948717948717946,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",17,5.400913308205277,3.631544283838653,0.04864544204265615,0.6636102705519709,1.251399550655947,1.349586604240067
4H compression quality breakout | SMA700 | buffer 2.5% | p1/1,4h,700,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,15661.095241240671,0.5661095241240672,0.15317480033392195,0.6179057850234456,0.4506770085656446,-0.3398771124833426,0.11050948186516667,0.08840758549213333,0.022101896373033333,41.0,41,0.45177738927738925,4H compression quality breakout,compression_quality|compression<=0.997321|body>=0.468246|closepos>=0.477725,Best baseline trades came after non-expanded volatility and decisive candles.,"Long threshold only after relative range compression, a prior-high break, body quality, and close near the high.",20,6.3540156567120905,3.468019205385379,0.044353406079839744,0.6828195798380007,1.3450201424570982,1.4030776995649674
