feature,bucket,trade_count,win_rate,mean_net_return,median_net_return,total_net_return_sum,edge_vs_all
body_pct,p25-p50 0.001511..0.007645,3,0.6666666666666666,0.5740692978043597,0.4912035338856213,1.722207893413079,0.44151133770276985
failed_attempts_90,p25-p50 1.000000..2.000000,3,1.0,0.5059165609935145,0.2638732482097248,1.5177496829805432,0.37335860089192463
atr_pctile_180,>p75 0.900000,3,0.6666666666666666,0.498614708334242,0.2638732482097248,1.495844125002726,0.3660567482326521
atr_pct,p50-p75 0.013238..0.014358,3,1.0,0.4353131474980896,0.052063007723450294,1.3059394424942687,0.30275518739649976
body_to_range,>p75 0.650185,3,0.6666666666666666,0.4245327514165342,0.052063007723450294,1.2735982542496025,0.2919747913149443
sma750_slope30_pct,p50-p75 0.000726..0.003168,3,0.3333333333333333,0.40675595815439974,-0.010736485064258394,1.2202678744631992,0.27419799805280987
sma750_slope30_atr,p50-p75 0.067638..0.196635,3,0.3333333333333333,0.40675595815439974,-0.010736485064258394,1.2202678744631992,0.27419799805280987
compression_20_120,p50-p75 0.997321..1.258285,3,0.6666666666666666,0.37633632933499994,0.052063007723450294,1.1290089880049998,0.2437783692334101
dist_threshold,<=p25 0.002219,4,0.25,0.29918857384797604,-0.016943763132772904,1.1967542953919041,0.16663061374638619
dist_sma750,<=p25 0.037297,4,0.25,0.29918857384797604,-0.016943763132772904,1.1967542953919041,0.16663061374638619
close_position,<=p25 0.296089,4,0.25,0.29918857384797604,-0.016943763132772904,1.1967542953919041,0.16663061374638619
sma750_slope30_pct,<=p25 -0.000458,3,1.0,0.26904659660626545,0.2638732482097248,0.8071397898187964,0.1364886365046756
sma750_slope30_atr,<=p25 -0.014004,3,1.0,0.26904659660626545,0.2638732482097248,0.8071397898187964,0.1364886365046756
green_streak,<=p25 0.000000,5,0.2,0.23136031734160606,-0.01742702176554467,1.1568015867080303,0.09880235724001621
green_streak,>p75 3.000000,3,1.0,0.18290386502896264,0.052063007723450294,0.5487115950868879,0.05034590492737279
break_prev_high_20,false,8,0.25,0.15152181325811104,-0.017608290700548423,1.2121745060648883,0.018963853156521188
break_prev_high_30,false,8,0.25,0.15152181325811104,-0.017608290700548423,1.2121745060648883,0.018963853156521188
break_prev_high_50,false,8,0.25,0.15152181325811104,-0.017608290700548423,1.2121745060648883,0.018963853156521188
atr_pct,p25-p50 0.010057..0.013238,3,0.3333333333333333,0.1478173736599829,-0.010736485064258394,0.4434521209799487,0.015259413558393053
body_to_range,p25-p50 0.240223..0.468246,3,0.3333333333333333,0.14683811337916308,-0.010736485064258394,0.44051434013748925,0.014280153277573232
dist_threshold,p50-p75 0.012506..0.019402,3,0.3333333333333333,0.142430823759119,-0.026896134766850044,0.42729247127735703,0.009872863657529152
dist_sma750,p50-p75 0.047944..0.055082,3,0.3333333333333333,0.142430823759119,-0.026896134766850044,0.42729247127735703,0.009872863657529152
close_position,>p75 0.695578,3,0.3333333333333333,0.142430823759119,-0.026896134766850044,0.42729247127735703,0.009872863657529152
entry_streak,<=p25 3.000000,13,0.38461538461538464,0.13255796010158985,-0.01646050450000114,1.723253481320668,0.0
bars_below_threshold_before_entry,<=p25 0.000000,13,0.38461538461538464,0.13255796010158985,-0.01646050450000114,1.723253481320668,0.0
close_position,p50-p75 0.477725..0.695578,3,1.0,0.10712710313699714,0.052063007723450294,0.3213813094109914,-0.025430856964592713
break_prev_high_20,true,5,0.6,0.1022157950511559,0.0054450534778163195,0.5110789752557795,-0.030342165050433953
break_prev_high_30,true,5,0.6,0.1022157950511559,0.0054450534778163195,0.5110789752557795,-0.030342165050433953
break_prev_high_50,true,5,0.6,0.1022157950511559,0.0054450534778163195,0.5110789752557795,-0.030342165050433953
atr_pctile_180,<=p25 0.311111,4,0.25,0.10087485307401875,-0.02387570645283632,0.403499412296075,-0.0316831070275711
compression_20_120,<=p25 0.962998,4,0.25,0.10087485307401875,-0.02387570645283632,0.403499412296075,-0.0316831070275711
compression_20_120,>p75 1.258285,3,0.3333333333333333,0.0735055363142912,-0.01646050450000114,0.22051660894287362,-0.05905242378729865
dist_threshold,p25-p50 0.002219..0.012506,3,0.3333333333333333,0.07106135148719757,-0.010736485064258394,0.21318405446159272,-0.06149660861439228
dist_sma750,p25-p50 0.037297..0.047944,3,0.3333333333333333,0.07106135148719757,-0.010736485064258394,0.21318405446159272,-0.06149660861439228
failed_attempts_90,<=p25 1.000000,6,0.3333333333333333,0.04943530841877477,-0.017608290700548423,0.2966118505126486,-0.08312265168281507
atr_pct,>p75 0.014358,3,0.3333333333333333,0.025309114232757057,-0.01646050450000114,0.07592734269827117,-0.10724884586883279
green_streak,p25-p50 0.000000..1.000000,3,0.3333333333333333,0.021830570810474088,-0.026896134766850044,0.06549171243142227,-0.11072738929111577
body_to_range,<=p25 0.240223,4,0.25,0.014292816449293866,-0.017608290700548423,0.05717126579717546,-0.11826514365229598
body_pct,<=p25 0.001511,4,0.25,0.008661394719711613,-0.02887113415971293,0.03464557887884645,-0.12389656538187824
body_pct,>p75 0.011689,3,0.6666666666666666,0.006831044453284123,0.0054450534778163195,0.020493133359852367,-0.12572691564830574
atr_pctile_180,p25-p50 0.311111..0.716667,3,0.3333333333333333,0.005615475440784483,-0.01742702176554467,0.016846426322353447,-0.12694248466080538
compression_20_120,p25-p50 0.962998..0.997321,3,0.3333333333333333,-0.009923842641093509,-0.01742702176554467,-0.029771527923280527,-0.14248180274268335
body_to_range,p50-p75 0.468246..0.650185,3,0.3333333333333333,-0.016010126287866355,-0.01646050450000114,-0.048030378863599066,-0.1485680863894562
sma750_slope30_pct,>p75 0.003168,3,0.3333333333333333,-0.016989386568686166,-0.01646050450000114,-0.0509681597060585,-0.14954734667027603
sma750_slope30_atr,>p75 0.196635,3,0.3333333333333333,-0.016989386568686166,-0.01646050450000114,-0.0509681597060585,-0.14954734667027603
body_pct,p50-p75 0.007645..0.011689,3,0.0,-0.018031041443703193,-0.01646050450000114,-0.05409312433110958,-0.15058900154529303
failed_attempts_90,p50-p75 2.000000..3.000000,3,0.0,-0.018031041443703193,-0.01646050450000114,-0.05409312433110958,-0.15058900154529303
green_streak,p50-p75 1.000000..3.000000,2,0.0,-0.02387570645283632,-0.02387570645283632,-0.04775141290567264,-0.15643366655442617
atr_pct,<=p25 0.010057,4,0.0,-0.025516356212955144,-0.02234284720120111,-0.10206542485182057,-0.158074316314545
sma750_slope30_pct,p25-p50 -0.000458..0.000726,3,0.0,-0.027233540747938823,-0.026896134766850044,-0.08170062224381647,-0.15979150084952867
sma750_slope30_atr,p25-p50 -0.014004..0.067638,3,0.0,-0.027233540747938823,-0.026896134766850044,-0.08170062224381647,-0.15979150084952867
