exit_type,trades,mean_net_return,median_exit_dist_threshold,mean_deterioration_3bar_return,mean_gave_back_from_prior_20_high,median_exit_atr_pctile_180
false_or_loss_exit,8,-0.042220342908618355,-0.01803836449739965,-0.02295734133028257,-0.055464661279035266,0.8555555555555556
winner_exit,5,0.412203244917923,-0.007972474959724973,-0.00962825766961497,-0.031216412801534688,0.2722222222222222
